"hbw_name","wikidata_qid","hex","type","is_natural_plumage"
"RAL 1018","Q35797128","F8F32B","General",TRUE
"RAL 1019","Q35797302","9E9764","General",TRUE
"RAL 1020","Q35797485","999950","General",TRUE
"RAL 1021","Q35797659","F3DA0B","General",TRUE
"RAL 1023","Q2516200","F0CA00","General",TRUE
"RAL 1024","Q35798026","AEA04B","General",TRUE
"RAL 1026","Q35798190","FFFF00","General",TRUE
"RAL 1027","Q35798358","9D9101","General",TRUE
"RAL 1028","Q35798536","F4A900","General",TRUE
"RAL 1032","Q35798732","D6AE01","General",TRUE
"RAL 1033","Q35798896","F3A505","General",TRUE
"RAL 1034","Q35799063","EFA94A","General",TRUE
"RAL 1035","Q35799241","6A5D4D","General",TRUE
"RAL 1036","Q35799419","705335","General",TRUE
